id,region,country,item_type,sales_channel,order_priority,order_date,order_id,ship_date,units_sold,unit_price,unit_cost,total_revenue,total_cost,total_profit,created_at,updated_at
1,"Sub-Saharan Africa",Namibia,Household,Offline,M,2015-08-31T00:00:00.000000Z,897751939,2015-10-12T00:00:00.000000Z,3604,668.27,502.54,2408445.08,1811154.16,597290.92,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
2,Europe,Iceland,"Baby Food",Online,H,2010-11-20T00:00:00.000000Z,599480426,2011-01-09T00:00:00.000000Z,8435,255.28,159.42,2153286.80,1344707.70,808579.10,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
3,Europe,Russia,Meat,Online,L,2017-06-22T00:00:00.000000Z,538911855,2017-06-25T00:00:00.000000Z,4848,421.89,364.69,2045322.72,1768017.12,277305.60,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
4,Europe,"Moldova ",Meat,Online,L,2012-02-28T00:00:00.000000Z,459845054,2012-03-20T00:00:00.000000Z,7225,421.89,364.69,3048155.25,2634885.25,413270.00,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
5,Europe,Malta,Cereal,Online,M,2010-08-12T00:00:00.000000Z,626391351,2010-09-13T00:00:00.000000Z,1975,205.70,117.11,406257.50,231292.25,174965.25,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
6,Asia,Indonesia,Meat,Online,H,2010-08-20T00:00:00.000000Z,472974574,2010-08-27T00:00:00.000000Z,2542,421.89,364.69,1072444.38,927041.98,145402.40,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
7,"Sub-Saharan Africa",Djibouti,Household,Online,M,2011-02-03T00:00:00.000000Z,854331052,2011-03-03T00:00:00.000000Z,4398,668.27,502.54,2939051.46,2210170.92,728880.54,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
8,Europe,Greece,Household,Online,L,2015-09-11T00:00:00.000000Z,895509612,2015-09-26T00:00:00.000000Z,49,668.27,502.54,32745.23,24624.46,8120.77,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
9,"Sub-Saharan Africa",Cameroon,Cosmetics,Offline,M,2014-01-31T00:00:00.000000Z,241871583,2014-02-04T00:00:00.000000Z,4031,437.20,263.33,1762353.20,1061483.23,700869.97,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
10,"Sub-Saharan Africa",Nigeria,Cosmetics,Online,C,2015-11-21T00:00:00.000000Z,409090793,2015-12-07T00:00:00.000000Z,7911,437.20,263.33,3458689.20,2083203.63,1375485.57,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
11,"Sub-Saharan Africa",Senegal,Fruits,Offline,M,2016-08-29T00:00:00.000000Z,733153569,2016-10-05T00:00:00.000000Z,5288,9.33,6.92,49337.04,36592.96,12744.08,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
12,"Middle East and North Africa",Afghanistan,Cosmetics,Offline,L,2016-10-21T00:00:00.000000Z,620358741,2016-12-01T00:00:00.000000Z,6792,437.20,263.33,2969462.40,1788537.36,1180925.04,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
13,Asia,India,Vegetables,Online,C,2010-03-21T00:00:00.000000Z,897317636,2010-04-05T00:00:00.000000Z,5084,154.06,90.93,783241.04,462288.12,320952.92,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
14,"Middle East and North Africa",Lebanon,Vegetables,Online,L,2010-10-15T00:00:00.000000Z,660954082,2010-11-19T00:00:00.000000Z,9855,154.06,90.93,1518261.30,896115.15,622146.15,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
15,"Middle East and North Africa",Turkey,"Office Supplies",Online,L,2010-10-04T00:00:00.000000Z,428504407,2010-11-13T00:00:00.000000Z,2831,651.21,524.96,1843575.51,1486161.76,357413.75,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
16,"Middle East and North Africa",Iraq,Cosmetics,Offline,M,2014-10-14T00:00:00.000000Z,787517440,2014-10-19T00:00:00.000000Z,2766,437.20,263.33,1209295.20,728370.78,480924.42,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
17,"Sub-Saharan Africa",Rwanda,"Personal Care",Offline,M,2013-06-15T00:00:00.000000Z,145854508,2013-07-08T00:00:00.000000Z,445,81.73,56.67,36369.85,25218.15,11151.70,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
18,Europe,Ukraine,"Baby Food",Offline,M,2017-05-07T00:00:00.000000Z,581689441,2017-05-29T00:00:00.000000Z,3687,255.28,159.42,941217.36,587781.54,353435.82,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
19,Europe,Finland,"Office Supplies",Online,H,2015-05-21T00:00:00.000000Z,193508565,2015-07-03T00:00:00.000000Z,2339,651.21,524.96,1523180.19,1227881.44,295298.75,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
20,"Sub-Saharan Africa","South Sudan",Beverages,Offline,H,2016-06-28T00:00:00.000000Z,750110709,2016-07-14T00:00:00.000000Z,3283,47.45,31.79,155778.35,104366.57,51411.78,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
21,"Central America and the Caribbean","Antigua and Barbuda ",Fruits,Offline,M,2015-07-06T00:00:00.000000Z,940607202,2015-08-12T00:00:00.000000Z,5428,9.33,6.92,50643.24,37561.76,13081.48,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
22,"Middle East and North Africa",Kuwait,"Personal Care",Online,C,2012-02-18T00:00:00.000000Z,424421870,2012-03-23T00:00:00.000000Z,4718,81.73,56.67,385602.14,267369.06,118233.08,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
23,Europe,"United Kingdom","Office Supplies",Offline,C,2014-09-09T00:00:00.000000Z,281291043,2014-09-14T00:00:00.000000Z,9125,651.21,524.96,5942291.25,4790260.00,1152031.25,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
24,"Central America and the Caribbean","Saint Kitts and Nevis ","Personal Care",Online,C,2013-08-24T00:00:00.000000Z,761263549,2013-09-25T00:00:00.000000Z,3656,81.73,56.67,298804.88,207185.52,91619.36,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
25,"Central America and the Caribbean","Antigua and Barbuda ","Personal Care",Offline,M,2015-09-04T00:00:00.000000Z,834700715,2015-09-16T00:00:00.000000Z,5345,81.73,56.67,436846.85,302901.15,133945.70,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
26,"Central America and the Caribbean","Saint Lucia",Cosmetics,Offline,L,2017-02-26T00:00:00.000000Z,442276370,2017-03-28T00:00:00.000000Z,8261,437.20,263.33,3611709.20,2175369.13,1436340.07,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
27,"Middle East and North Africa",Kuwait,"Personal Care",Offline,H,2015-07-15T00:00:00.000000Z,944976842,2015-08-18T00:00:00.000000Z,8502,81.73,56.67,694868.46,481808.34,213060.12,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
28,"Sub-Saharan Africa","South Sudan","Office Supplies",Online,L,2013-02-09T00:00:00.000000Z,174100959,2013-02-18T00:00:00.000000Z,9197,651.21,524.96,5989178.37,4828057.12,1161121.25,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
29,"Middle East and North Africa","Tunisia ",Snacks,Online,M,2013-03-27T00:00:00.000000Z,981260049,2013-04-04T00:00:00.000000Z,5509,152.58,97.44,840563.22,536796.96,303766.26,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
30,"Middle East and North Africa",Yemen,Cereal,Online,H,2016-07-23T00:00:00.000000Z,888377940,2016-08-08T00:00:00.000000Z,9629,205.70,117.11,1980685.30,1127652.19,853033.11,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
31,"Sub-Saharan Africa",Guinea,Vegetables,Offline,L,2017-03-18T00:00:00.000000Z,637690961,2017-04-24T00:00:00.000000Z,5781,154.06,90.93,890620.86,525666.33,364954.53,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
